# Object,[Mg/Fe],[Al/Fe]
SAGA_Car_000004,0.22,0.05
SAGA_Car_000004,0.56,
SAGA_Car_000004,,
SAGA_Car_000004,0.12,
SAGA_Car_000005,0.24,0.22
SAGA_Car_000005,0.59,
SAGA_Car_000005,,
SAGA_Dra_000001,0.5,-0.24
SAGA_Dra_000001,,
SAGA_Dra_000001,0.21,
SAGA_Dra_000001,,
SAGA_Dra_000001,0.18,
SAGA_Dra_000001,,
SAGA_Dra_000001,,
SAGA_Dra_000009,,
SAGA_Dra_000009,0.18,-0.55
SAGA_Dra_000009,,
SAGA_Dra_000009,0.16,
SAGA_Dra_000009,,
SAGA_Dra_000009,,
SAGA_For_000001,0,0.11
SAGA_For_000001,-0.13,
SAGA_For_000001,-0.3,
SAGA_For_000003,0.18,-0.02
SAGA_For_000003,,
SAGA_For_000003,-0.02,
SAGA_For_000003,-0.43,
SAGA_For_000003,,
SAGA_For_000659,0.44,-0.2
SAGA_For_000659,,
SAGA_Scl_000007,,
SAGA_Scl_000007,-0.24,-0.36
SAGA_Scl_000007,,
SAGA_Scl_000009,-0.07,
SAGA_Scl_000009,-0.21,-0.42
SAGA_Scl_000009,,
SAGA_Scl_000009,,
SAGA_Scl_000009,,
SAGA_Scl_000009,-0.59,
SAGA_Scl_000026,,
SAGA_Scl_000026,0.4,-0.8
SAGA_Scl_000026,0.4,
SAGA_Scl_000058,-0.49,-1.09
SAGA_Scl_000058,,
SAGA_Scl_000058,,
SAGA_Scl_000435,-0.03,-0.65
SAGA_Scl_000435,0.3,-1.04
SAGA_Scl_000435,,
SAGA_Scl_000442,0.52,-0.37
SAGA_Scl_000444,0.25,-0.88
SAGA_Scl_000444,0.15,
SAGA_Scl_000445,0.11,-0.8
SAGA_Scl_000445,-0.21,
SAGA_Scl_000448,0.38,-0.47
SAGA_Scl_000448,0.18,
SAGA_Scl_000450,0.4,-0.64
SAGA_Scl_000450,,
SAGA_Scl_000450,,
SAGA_Scl_000451,-0.39,-1
SAGA_Scl_000451,,
SAGA_Scl_000452,0.44,-0.91
SAGA_Scl_000452,,
SAGA_UMi_000025,0.41,-0.46
SAGA_UMi_000034,0.42,0.53
SAGA_UMi_000038,0.35,-0.65
SAGA_UMi_000038,,
SAGA_UMi_000082,0.12,0.08
SAGA_UMi_000136,0.27,0.6
SAGA_UMi_000151,0.33,-0.1
SAGA_UMi_000221,0.4,0.2