# Object,[Fe/H],[Mg/Fe]
SAGA_For_000752,-0.99,-0.04
SAGA_For_000754,-1.01,-0.1
SAGA_For_000755,-0.76,-0.11
SAGA_For_000757,-1.1,0
SAGA_For_000759,-0.64,-0.34
SAGA_For_000760,-0.09,-0.35
SAGA_For_000761,-0.92,-0.29
SAGA_For_000763,-0.43,-0.36
SAGA_For_000765,-0.86,
SAGA_For_000765,-0.69,-0.42
SAGA_For_000767,-1.09,0.19
SAGA_For_000768,-0.84,-0.46
SAGA_For_000769,-0.85,0.22
SAGA_For_000770,-0.98,-0.3
SAGA_For_000771,-1.27,-0.14
SAGA_For_000773,-0.38,0.31
SAGA_For_000774,-0.54,-0.82
SAGA_For_000775,-0.54,0.11
SAGA_For_000776,-0.79,-0.65
SAGA_For_000777,-1.36,0.49
SAGA_For_000778,-0.94,-0.29
SAGA_For_000779,-0.97,0.45
SAGA_For_000780,-0.94,-0.15
SAGA_For_000780,-0.7,-0.41
SAGA_For_000783,-0.69,0.11
SAGA_For_000784,-0.87,0.04
SAGA_For_000785,-0.89,-0.4
SAGA_For_000787,-0.53,0.09
SAGA_For_000788,-0.68,-0.19
SAGA_For_000789,-0.96,0
SAGA_For_000790,-0.61,0.17
SAGA_For_000792,-1.04,-0.48
SAGA_For_000794,-0.28,-0.04
SAGA_For_000796,-0.74,-0.06
SAGA_For_000799,-0.7,0.47
SAGA_For_000800,-0.68,-0.02
SAGA_For_000802,-0.39,-0.23
SAGA_For_000803,-0.84,
SAGA_For_000803,-0.7,0.28
SAGA_For_000803,-0.83,
SAGA_For_000805,-1.17,
SAGA_For_000805,-0.92,-0.33
SAGA_For_000805,-1.17,
SAGA_For_000806,-1.05,0.51
SAGA_For_000807,-1.04,0.06
SAGA_For_000808,-1.1,
SAGA_For_000808,-0.88,0.12
SAGA_For_000810,-1.3,
SAGA_For_000810,-1.11,0.57
SAGA_For_000811,-1.12,
SAGA_For_000811,-0.87,-0.23
SAGA_For_000812,-1.11,0.07
SAGA_For_000813,-1.09,0.02
SAGA_For_000816,-0.83,-0.38
SAGA_For_000817,-0.66,-0.02
SAGA_For_000819,-0.59,-0.19
SAGA_For_000820,-0.7,0.14
SAGA_For_000821,-0.63,-0.21
SAGA_For_000822,-0.76,-0.43
SAGA_For_000823,-0.8,0
SAGA_For_000825,-0.41,-0.33
SAGA_For_000826,-0.91,
SAGA_For_000826,-0.67,-0.32
SAGA_For_000827,-0.84,-0.32
SAGA_For_000828,-1.03,-0.75
SAGA_For_000829,-0.79,-0.5
SAGA_For_000830,-1.19,0.88
SAGA_For_000832,-0.91,-0.38
SAGA_For_000833,-0.99,0.57
SAGA_For_000834,-1.13,
SAGA_For_000834,-0.86,-0.33
SAGA_For_000835,-0.82,
SAGA_For_000835,-0.51,-0.1
SAGA_For_000836,-0.98,
SAGA_For_000836,-0.85,-0.43
SAGA_For_000837,-0.62,-0.09
SAGA_For_000838,-0.89,
SAGA_For_000838,-0.65,-0.16
SAGA_For_000838,-0.88,
SAGA_For_000839,-1.33,0.22
SAGA_For_000841,-1.08,
SAGA_For_000841,-0.87,0.27
SAGA_For_000844,-0.77,-0.23
SAGA_For_000846,-0.89,
SAGA_For_000846,-0.62,-0.3
SAGA_For_000846,-0.89,
SAGA_For_000847,-0.9,-0.11
SAGA_For_000849,-0.56,-0.39
SAGA_For_000850,-0.79,
SAGA_For_000850,-0.55,-0.3
SAGA_For_000853,-1.43,
SAGA_For_000853,-1.21,0.06
SAGA_For_000854,-1.07,
SAGA_For_000854,-0.77,0.17
SAGA_For_000855,-0.54,-0.42
SAGA_For_000856,-0.88,-0.7
SAGA_For_000858,-0.77,
SAGA_For_000858,-0.68,
SAGA_For_000858,-0.51,-0.25
SAGA_For_000858,-0.76,
SAGA_For_000859,-0.74,0.24
SAGA_For_000860,-1.17,0.91
SAGA_For_000862,-0.9,-0.33
SAGA_For_000864,-1.31,-0.37
SAGA_For_000867,-0.92,0.19
SAGA_For_000868,-0.83,-0.33
SAGA_For_000869,-0.5,-0.29
SAGA_For_000872,-1.42,0.64
SAGA_For_000874,-1.09,
SAGA_For_000874,-0.91,0.14
SAGA_For_000877,-0.67,-0.18
SAGA_For_000878,-0.98,0.68
SAGA_For_000879,-0.71,-0.61
SAGA_For_000880,-0.6,0.17
SAGA_For_000882,-0.63,-0.19
SAGA_For_000883,-0.52,-0.19
SAGA_For_000885,-0.87,-0.05
SAGA_For_000886,-1.03,0.24
SAGA_For_000888,-0.61,-0.16
SAGA_For_000892,-0.8,-0.79
SAGA_For_000894,-0.78,0.07
SAGA_For_000895,-1.49,
SAGA_For_000895,-1.29,-0.29
SAGA_For_000895,-1.49,
SAGA_For_000896,-0.96,-0.18
SAGA_For_000897,-1.27,-0.2
SAGA_For_000898,-0.92,0.05
SAGA_For_000900,-0.57,0.16
SAGA_For_000901,-0.95,0.71
SAGA_For_000907,-1.07,0.04
SAGA_For_000908,-0.89,-0.5
SAGA_For_000909,-0.99,-0.1
SAGA_For_000910,-0.79,-0.51
SAGA_For_000911,-0.82,-0.32
SAGA_For_000912,-0.79,0.04
SAGA_For_000913,-0.99,0.38
SAGA_For_000914,-0.97,-0.02
SAGA_For_000915,-1.05,0.85
SAGA_For_000918,-0.86,0.28
SAGA_For_000919,-0.48,-0.41
SAGA_For_000920,-0.64,0.11
SAGA_For_000921,-0.81,0.14
SAGA_For_000922,-0.68,0.08
SAGA_For_000923,-0.99,0.58
SAGA_For_000925,-0.78,-0.14
SAGA_For_000926,-0.84,0.34
SAGA_For_000927,-1.09,
SAGA_For_000927,-0.86,-0.07
SAGA_For_000927,-1.08,
SAGA_For_000930,-0.73,-0.11
SAGA_For_000933,-1.14,
SAGA_For_000933,-0.89,-0.16
SAGA_For_000933,-1.13,
SAGA_For_000934,-0.82,-0.05
SAGA_For_000935,-0.46,-0.32
SAGA_For_000937,-1.09,
SAGA_For_000937,-0.89,-0.36
SAGA_For_000939,-0.67,-0.3
SAGA_For_000940,-1.48,0.03
SAGA_For_000941,-0.81,-0.08
SAGA_For_000941,-0.82,-0.25
SAGA_For_000942,-1.03,0.32
SAGA_For_000943,-0.91,0.17
SAGA_For_000945,-0.77,1.01
SAGA_For_000946,-0.61,-0.16
SAGA_For_000947,-0.87,-0.11
SAGA_For_000948,-0.59,-0.25
SAGA_For_000950,-0.93,-0.11
SAGA_For_000951,-0.61,-0.29
SAGA_For_000952,-0.42,-0.06
SAGA_For_000953,-1.06,
SAGA_For_000953,-0.81,-0.09
SAGA_For_000955,-0.83,
SAGA_For_000955,-0.55,-0.1
SAGA_For_000956,-1.05,0.19
SAGA_For_000958,-0.77,0.62
SAGA_For_000960,-1,-0.35
SAGA_For_000961,-0.53,-0.28
SAGA_For_000963,-0.78,-0.19
SAGA_For_000964,-0.52,-0.2
SAGA_For_000965,-0.68,-0.32
SAGA_For_000966,-0.62,-0.63
SAGA_For_000968,-1.07,0.58
SAGA_For_000969,-0.94,-0.18
SAGA_For_000970,-0.93,0.09
SAGA_For_000971,-0.59,0.16
SAGA_For_000972,-1.11,-0.28
SAGA_For_000974,-0.85,-0.01
SAGA_For_000975,-0.58,-0.13
SAGA_For_000975,-0.47,-0.42
SAGA_For_000976,-0.78,0.42
SAGA_For_000978,-0.7,
SAGA_For_000978,-0.4,-0.37
SAGA_For_000979,-1.25,0.56
SAGA_For_000981,-0.67,-0.31
SAGA_For_000982,-0.38,-0.33
SAGA_For_000983,-0.59,-0.27
SAGA_For_000984,-0.77,0.2
SAGA_For_000985,-0.76,-0.32
SAGA_For_000989,-0.81,
SAGA_For_000989,-0.52,-0.25
SAGA_For_000990,-0.86,-0.08
SAGA_For_000991,-0.88,0.03
SAGA_For_000992,-0.62,-0.11
SAGA_For_000993,-0.84,-0.76
SAGA_For_000994,-1.38,0.42
SAGA_For_000995,-0.54,0.08
SAGA_For_000997,-0.88,0.48
SAGA_For_000998,-0.45,0.44
SAGA_For_000999,-1.12,
SAGA_For_000999,-0.93,-0.22
SAGA_For_000999,-1.11,
SAGA_For_001000,-0.66,-0.33
SAGA_For_001001,-0.9,-0.05
SAGA_For_001002,-0.64,0.04
SAGA_For_001003,-0.76,-0.35
SAGA_For_001005,-0.59,-0.21
SAGA_For_001006,-1.09,0.69
SAGA_For_001007,-1.09,
SAGA_For_001007,-0.84,-0.17
SAGA_For_001007,-1.09,
SAGA_For_001009,-1.06,0.8
SAGA_For_001011,-0.66,-0.11
SAGA_For_001013,-0.92,-0.16
SAGA_For_001015,-0.81,-0.21
SAGA_For_001016,-0.8,
SAGA_For_001016,-0.58,-0.15
SAGA_For_001017,-0.65,0.2
SAGA_For_001018,-0.71,-0.89
SAGA_For_001020,-0.48,-0.48
SAGA_For_001021,-1.05,-0.09
SAGA_For_001022,-1.04,-0.29
SAGA_For_001025,-0.7,-0.49
SAGA_For_001026,-0.99,0.03
SAGA_For_001027,-0.52,-0.21
SAGA_For_001028,-1.15,
SAGA_For_001028,-0.89,-0.39
SAGA_For_001029,-0.97,0.61
SAGA_For_001032,-0.97,-0.06
SAGA_For_001033,-0.92,-0.12
SAGA_For_001034,-0.59,0.26
SAGA_For_001037,-0.7,
SAGA_For_001037,-0.43,-0.2
SAGA_For_001038,-0.98,0.14
SAGA_For_001039,-0.42,-0.13
SAGA_For_001040,-0.7,
SAGA_For_001040,,
SAGA_For_001040,-0.38,-0.43
SAGA_For_001040,-0.7,
SAGA_For_001041,-0.52,-0.33
SAGA_For_001042,-0.88,
SAGA_For_001042,-0.6,-0.3
SAGA_For_001042,-0.87,
SAGA_For_001043,-1.71,
SAGA_For_001043,-1.44,0.02
SAGA_For_001043,-1.53,-0.03
SAGA_For_001043,-1.7,
SAGA_For_001044,-0.66,-0.19
SAGA_For_001045,-0.76,
SAGA_For_001045,-0.47,-0.28
SAGA_For_001046,-0.88,-0.42
SAGA_For_001047,-0.88,-0.18
SAGA_For_001049,-1.05,
SAGA_For_001049,-0.82,-0.48
SAGA_For_001050,-1.03,
SAGA_For_001050,-0.87,-0.28
SAGA_For_001050,-0.8,-0.36
SAGA_For_001050,-1.03,
SAGA_For_001052,-0.99,0.17
SAGA_For_001053,-1.14,
SAGA_For_001053,-0.87,-0.72
SAGA_For_001053,-1.13,
SAGA_For_001054,-0.87,-0.39
SAGA_For_001055,-2.21,
SAGA_For_001055,-2.04,0.67
SAGA_For_001058,-0.67,-0.14
SAGA_For_001059,-0.53,-0.24
SAGA_For_001062,-0.58,-0.07
SAGA_For_001064,-0.88,-0.28
SAGA_For_001065,-0.58,-0.11
SAGA_For_001066,-0.79,-0.49
SAGA_For_001067,-0.78,0.01
SAGA_For_001068,-1.13,
SAGA_For_001068,-0.88,-0.2
SAGA_For_001068,-1.12,
SAGA_For_001070,-0.68,0.11
SAGA_For_001071,-0.42,-0.08
SAGA_For_001072,-0.77,
SAGA_For_001072,-0.59,-0.41
SAGA_For_001074,-1.66,
SAGA_For_001074,-1.45,-0.23
SAGA_For_001074,-1.65,
SAGA_For_001075,-0.21,0.45
SAGA_For_001077,-0.61,0.4
SAGA_For_001078,-1.05,
SAGA_For_001078,-0.78,-0.09
SAGA_For_001078,-1.04,
SAGA_For_001083,-0.78,-0.49
SAGA_For_001084,-1.06,0.08
SAGA_For_001085,-1.55,0.4
SAGA_For_001086,-0.92,-0.16
SAGA_For_001087,-0.69,
SAGA_For_001087,-0.5,-0.53
SAGA_For_001089,-0.83,-0.46
SAGA_For_001090,-1.02,
SAGA_For_001090,-0.79,-0.66
SAGA_For_001091,-1.09,
SAGA_For_001091,,
SAGA_For_001091,-0.9,-0.39
SAGA_For_001091,-1.09,
SAGA_For_001092,-0.95,
SAGA_For_001092,-0.78,-0.25
SAGA_For_001093,-0.61,-0.27
SAGA_For_001093,-0.44,-0.26
SAGA_For_001094,-0.59,0.29
SAGA_For_001095,-0.61,-0.05
SAGA_For_001096,-0.72,-0.26
SAGA_For_001097,-0.72,-0.35
SAGA_For_001099,-1.19,
SAGA_For_001099,-0.98,-0.04
SAGA_For_001100,-0.51,-0.88
SAGA_For_001102,-0.62,-0.09
SAGA_For_001105,-0.61,0.18
SAGA_For_001106,-0.89,0.08
SAGA_For_001109,-0.76,0.64
SAGA_For_001110,-1.02,0.62
SAGA_For_001111,-0.42,-0.61
SAGA_For_001112,-0.59,
SAGA_For_001112,-0.37,-0.82
SAGA_For_001115,-1.06,
SAGA_For_001115,-0.83,-0.01
SAGA_For_001115,-1.05,
SAGA_For_001116,-1.01,-0.12
SAGA_For_001117,-0.56,-0.01
SAGA_For_001118,-1.19,
SAGA_For_001118,-0.98,0.1
SAGA_For_001119,-0.67,-0.09
SAGA_For_001120,-0.71,-0.26
SAGA_For_001121,-0.7,-0.19
SAGA_For_001122,-1.17,
SAGA_For_001122,-0.93,-0.39
SAGA_For_001123,-0.83,0.58
SAGA_For_001124,-0.66,-0.01
SAGA_For_001125,-0.47,-0.02
SAGA_For_001126,-0.65,
SAGA_For_001126,-0.4,0.04
SAGA_For_001132,-0.77,
SAGA_For_001132,-0.65,0.18
SAGA_For_001133,-0.53,0.01
SAGA_For_001134,-0.81,-0.25
SAGA_For_001135,-0.85,-0.04
SAGA_For_001137,-0.84,0.87
SAGA_For_001138,-0.8,-0.47
SAGA_For_001140,-0.86,0.03
SAGA_For_001141,-0.48,-0.08
SAGA_For_001142,-0.82,
SAGA_For_001142,-0.73,
SAGA_For_001142,-0.56,-0.3
SAGA_For_001142,-0.81,
SAGA_For_001144,-0.34,-0.13
SAGA_For_001145,-1.24,-0.71
SAGA_For_001148,-0.93,-0.19
SAGA_For_001151,-0.74,
SAGA_For_001151,-0.59,0.7
SAGA_For_001154,-0.88,-0.13
SAGA_For_001155,-1.78,0.12
SAGA_For_001156,-0.33,-0.04
SAGA_For_001157,-0.76,-0.11
SAGA_For_001159,-0.97,-0.5
SAGA_For_001160,-0.85,-0.21
SAGA_For_001161,-0.7,-0.05
SAGA_For_001162,-1.08,
SAGA_For_001162,-0.84,-0.8
SAGA_For_001163,-1.17,0.94
SAGA_For_001164,-0.93,-0.18
SAGA_For_001165,-0.11,0.01
SAGA_For_001167,-0.63,0.78
SAGA_For_001168,-0.91,0.55
SAGA_For_001169,-1.08,
SAGA_For_001169,-0.87,-0.32
SAGA_For_001172,-1.35,-0.69
SAGA_For_001173,-0.9,
SAGA_For_001173,-0.76,0.04
SAGA_For_001173,-0.62,-0.28
SAGA_For_001173,-0.89,
SAGA_For_001174,-1.91,0.24
SAGA_For_001176,-0.5,-0.27
SAGA_For_001177,-0.7,-0.05
SAGA_For_001177,-0.49,-0.44
SAGA_For_001179,-1.1,-0.12
SAGA_For_001180,-0.95,0.09
SAGA_For_001182,-0.85,-0.05
SAGA_For_001184,-1.2,
SAGA_For_001184,-0.98,-0.02
SAGA_For_001185,-1.07,0.14
SAGA_For_001186,-1.12,
SAGA_For_001186,-0.83,-0.09
SAGA_For_001186,-0.88,-0.17
SAGA_For_001187,-0.78,0.38
SAGA_For_001188,-0.42,-0.21
SAGA_For_001191,-0.71,-0.27
SAGA_For_001193,-0.86,-0.36
SAGA_For_001194,-0.53,0.06
SAGA_For_001195,-0.67,0.01
SAGA_For_001196,-0.95,-0.31
SAGA_For_001200,-0.7,0.27
SAGA_For_001203,-1.14,-0.02
SAGA_For_001205,-0.6,-0.4
SAGA_For_001206,-0.59,0.27
SAGA_For_001208,-0.72,0.74
SAGA_For_001209,-1.61,0.85
SAGA_For_001212,-0.69,-0.24
SAGA_For_001214,-0.81,-0.05
SAGA_For_001214,-0.95,-0.14
SAGA_For_001216,-0.94,0.07
SAGA_For_001217,-0.39,-0.46
SAGA_For_001218,-1.11,
SAGA_For_001218,-0.84,-0.03
SAGA_For_001220,-0.73,0.49
SAGA_For_001223,-0.76,-0.02
SAGA_For_001224,-1.13,
SAGA_For_001224,-1.03,0.05
SAGA_For_001225,-1.06,0.79
SAGA_For_001226,-1.02,-0.19
SAGA_For_001227,-1.22,
SAGA_For_001227,-1.01,-0.22
SAGA_For_001229,-0.68,-0.18
SAGA_For_001231,-0.71,0.11
SAGA_For_001232,-0.92,-0.21
SAGA_For_001234,-0.52,-0.47
SAGA_For_001235,-0.97,-0.26
SAGA_For_001236,-0.99,0.26
SAGA_For_001237,-0.74,0.75
SAGA_For_001238,-0.95,
SAGA_For_001238,-0.75,0.43
SAGA_For_001238,-0.94,
SAGA_For_001239,-0.86,-0.08
SAGA_For_001240,-0.91,-0.33
SAGA_For_001241,-0.78,
SAGA_For_001241,-0.54,0.23
SAGA_For_001243,-0.87,
SAGA_For_001243,-0.78,0.21
SAGA_For_001248,-1.18,
SAGA_For_001248,-0.97,-0.16
SAGA_For_001250,-1.16,0.09
SAGA_For_001251,-0.99,-0.68
SAGA_For_001253,-1.05,
SAGA_For_001253,-0.86,0.2
SAGA_For_001256,-0.56,-0.2
SAGA_For_001257,-0.69,-0.78
SAGA_For_001259,-0.79,
SAGA_For_001259,-0.54,-0.52
SAGA_For_001261,-0.51,0.17
SAGA_For_001264,-0.62,-0.21
SAGA_For_001266,-1.01,0.19
SAGA_For_001268,-0.93,-0.09
SAGA_For_001271,-1.31,0.69
SAGA_For_001272,-1.22,
SAGA_For_001272,-1.01,-0.42
SAGA_For_001273,-0.84,-0.29
SAGA_For_001275,-0.58,0.14
SAGA_For_001276,-0.57,-0.03
SAGA_For_001277,-0.85,-0.14
SAGA_For_001279,-0.92,-0.03
SAGA_For_001280,-1.14,
SAGA_For_001280,-0.88,0.01
SAGA_For_001280,-1.14,
SAGA_For_001281,-0.42,-0.13
SAGA_For_001282,-0.9,
SAGA_For_001282,-0.67,-0.39
SAGA_For_001283,-1,-0.19
SAGA_For_001284,-0.71,0.06
SAGA_For_001285,-0.81,-0.19
SAGA_For_001286,-0.81,-0.13
SAGA_For_001288,-0.84,
SAGA_For_001288,-0.62,-0.43
SAGA_For_001289,-0.52,0.27
SAGA_For_001290,-0.89,-0.09
SAGA_For_001292,-0.81,-0.05
SAGA_For_001294,-0.96,
SAGA_For_001294,-0.71,0.27
SAGA_For_001296,-1.69,
SAGA_For_001296,-1.5,0.55
SAGA_For_001298,-0.96,0.23
SAGA_For_001299,-0.92,-0.26
SAGA_For_001300,-1.11,0.03
SAGA_For_001301,-1.02,
SAGA_For_001301,-0.79,0.28
SAGA_For_001302,-0.88,0.01
SAGA_For_001305,-0.84,-0.7
SAGA_For_001306,-0.96,
SAGA_For_001306,-0.74,0.06
SAGA_For_001307,-0.92,0.04
SAGA_For_001308,-1.1,-0.13
SAGA_For_001310,-0.42,0.45
SAGA_For_001314,-1.13,0.55
SAGA_For_001315,-1.48,0.81
SAGA_For_001316,-0.83,
SAGA_For_001316,-0.6,-0.13
SAGA_For_001318,-1.09,0
SAGA_For_001319,-0.87,0.17
SAGA_For_001320,-0.9,0.53
SAGA_For_001322,-1.24,
SAGA_For_001322,-0.99,-0.38
SAGA_For_001323,-0.96,-0.03
SAGA_For_001324,-0.8,-0.54
SAGA_For_001325,-1.11,0.56
SAGA_For_001326,-0.49,-0.51
SAGA_For_001327,-0.58,0.63
SAGA_For_001328,,
SAGA_For_001328,-0.89,-0.47
SAGA_For_001329,-0.6,-0.29
SAGA_For_001330,-0.97,-0.05
SAGA_For_001331,-0.96,
SAGA_For_001331,-0.74,0.62
SAGA_For_001334,-1,0
SAGA_For_001335,-0.55,-0.3
SAGA_For_001338,-0.75,0
SAGA_For_001339,-1.06,0.27
SAGA_For_001340,-0.58,-0.26
SAGA_For_001341,-0.92,
SAGA_For_001341,-0.71,0.1
SAGA_For_001341,-0.91,
SAGA_For_001343,-0.79,
SAGA_For_001343,-0.62,-0.51
SAGA_For_001345,-0.84,0.05
SAGA_For_001348,-0.69,
SAGA_For_001348,-0.71,0.74
SAGA_For_001353,-0.56,0.32
SAGA_For_001356,-0.76,0.48
SAGA_For_001360,-0.84,-0.04
SAGA_For_001361,-1.43,
SAGA_For_001361,-1.1,0.75
SAGA_For_001362,-0.8,
SAGA_For_001362,-0.56,0.39
SAGA_For_001363,-0.77,0.21
SAGA_For_001366,-0.88,-0.04
SAGA_For_001367,-0.82,0.31
SAGA_For_001369,-0.87,-0.18
SAGA_For_001372,-0.61,-0.34
SAGA_For_001373,-0.96,0.88
SAGA_For_001374,-0.73,-0.71
SAGA_For_001375,-1.16,0.37
SAGA_For_001379,-1.12,0.17
SAGA_For_001381,-0.63,0.35
SAGA_For_001382,-0.63,0.31
SAGA_For_001383,-0.81,0.6
SAGA_For_001388,-1.6,-0.14
SAGA_For_001390,-2.05,-0.13
SAGA_For_001396,-0.64,-0.19
SAGA_For_001403,-1.39,0.02
SAGA_For_001409,-1.57,-0.06
SAGA_For_001410,-2.4,0.6
SAGA_For_001411,-1.47,-0.11
SAGA_For_001417,-0.99,-0.3
SAGA_For_001418,-1.09,0.08
SAGA_For_001424,-0.81,-0.28
SAGA_For_001425,-0.98,-0.13
SAGA_For_001426,-1.79,-0.06
SAGA_For_001427,-1,-0.11
SAGA_For_001428,-0.86,-0.25
SAGA_For_001429,-1.24,-0.24
SAGA_For_001430,-1.34,0.23
SAGA_For_001432,-1.11,0.05
SAGA_For_001439,-0.97,-0.03
SAGA_For_001441,-1.68,0.21
SAGA_For_001445,-1.05,-0.13
SAGA_For_001447,-0.76,-0.22
SAGA_For_001448,-1.19,-0.08
SAGA_For_001450,-1.07,-0.12
SAGA_For_001451,-0.99,-0.2
SAGA_For_001453,-1.43,0.05
SAGA_For_001456,-0.81,-0.23
SAGA_For_001457,-0.94,-0.04
SAGA_For_001459,-1.66,0.32
SAGA_For_001460,-0.85,-0.17
SAGA_For_001463,-0.9,-0.27
SAGA_For_001465,-2.25,0.3
SAGA_For_001468,-0.9,-0.2
SAGA_For_001469,-1.92,0.52
SAGA_For_001473,-1.48,-0.01
SAGA_For_001474,-1.71,0
SAGA_For_001476,-0.89,-0.14
SAGA_For_001477,-0.99,-0.3
SAGA_For_001478,-0.95,-0.19
SAGA_For_001479,-1.35,-0.12
SAGA_For_001480,-0.89,-0.12
SAGA_For_001483,-0.92,-0.36
SAGA_For_001484,-1.29,-0.13
SAGA_For_001486,-1.51,0.1
SAGA_For_001486,-1.56,
SAGA_For_001487,-1.12,-0.01
SAGA_For_001488,-1.02,0.16
SAGA_For_001489,-1,0.01
SAGA_For_001492,-0.91,-0.27
SAGA_For_001494,-1.01,-0.15
SAGA_For_001495,-0.77,0.03
SAGA_For_001496,-0.87,-0.23
SAGA_For_001497,-1.11,-0.06
SAGA_For_001498,-2.05,0.4
SAGA_For_001500,-1.18,0.01
SAGA_For_001501,-1.04,-0.28
SAGA_For_001502,-0.96,0.12
SAGA_For_001503,-0.85,-0.16
SAGA_For_001504,-0.98,-0.13
SAGA_For_001506,-1.49,0.17
SAGA_For_001507,-0.85,-0.15
SAGA_For_001508,-0.97,0.02
SAGA_For_001510,-1.09,-0.05
SAGA_For_001511,-1.18,-0.14
SAGA_For_001514,-1.13,-0.27
SAGA_For_001517,-1.13,-0.21
SAGA_For_001518,-1.15,-0.1
SAGA_For_001522,-2.17,0.1
SAGA_For_001526,-0.91,-0.02
SAGA_For_001529,-0.97,0.02
SAGA_For_001530,-0.8,-0.34
SAGA_For_001533,-1.03,-0.17
SAGA_For_001537,-1.52,0.25
SAGA_For_001539,-0.54,-0.33
SAGA_For_001542,-1.7,0.13
SAGA_For_001543,-1,-0.03
