# Object,[Fe/H],[Mg/Fe]
SAGA_Scl_000179,-1.46,
SAGA_Scl_000179,-1.29,-0.42
SAGA_Scl_000180,-1.58,0.2
SAGA_Scl_000180,-1.62,0.13
SAGA_Scl_000183,-1.54,
SAGA_Scl_000183,-1.58,
SAGA_Scl_000183,-1.42,0.11
SAGA_Scl_000184,-2.29,
SAGA_Scl_000184,-1.96,0.93
SAGA_Scl_000185,-1.31,-0.01
SAGA_Scl_000185,-1.4,
SAGA_Scl_000185,-1.21,-0.17
SAGA_Scl_000185,-1.38,
SAGA_Scl_000186,-1.9,0.19
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-2.01,
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-1.89,0.1
SAGA_Scl_000186,-1.99,
SAGA_Scl_000188,-2.09,0.27
SAGA_Scl_000188,-2.06,
SAGA_Scl_000189,-1.95,0.28
SAGA_Scl_000189,-1.92,0.28
SAGA_Scl_000190,-1.67,
SAGA_Scl_000190,-1.72,
SAGA_Scl_000190,-1.51,0.61
SAGA_Scl_000192,-1.13,-0.09
SAGA_Scl_000192,-1.07,-0.17
SAGA_Scl_000193,-1.08,-0.34
SAGA_Scl_000193,-0.93,-0.57
SAGA_Scl_000196,-1.18,-0.11
SAGA_Scl_000196,-1.24,
SAGA_Scl_000196,-1.03,-0.29
SAGA_Scl_000198,-1.19,-0.11
SAGA_Scl_000198,-1.45,
SAGA_Scl_000198,-1.29,0.2
SAGA_Scl_000199,-1.39,0.02
SAGA_Scl_000199,-1.52,
SAGA_Scl_000199,-1.29,0.14
SAGA_Scl_000200,-1.55,0.29
SAGA_Scl_000200,-1.61,
SAGA_Scl_000200,-1.46,0.17
SAGA_Scl_000200,-1.6,
SAGA_Scl_000202,-1.05,-0.13
SAGA_Scl_000202,-1.27,
SAGA_Scl_000202,-0.93,-0.19
SAGA_Scl_000204,-2.32,0.74
SAGA_Scl_000204,-2.36,
SAGA_Scl_000205,-1.33,
SAGA_Scl_000205,-1.41,
SAGA_Scl_000205,-1.24,-0.62
SAGA_Scl_000205,-1.39,
SAGA_Scl_000206,-1.33,0.03
SAGA_Scl_000206,-1.27,
SAGA_Scl_000206,-1.05,-0.5
SAGA_Scl_000206,-1.26,
SAGA_Scl_000207,-1.92,0.15
SAGA_Scl_000207,-1.97,0.15
SAGA_Scl_000208,-1.83,0.42
SAGA_Scl_000208,-1.96,
SAGA_Scl_000208,-1.78,0.37
SAGA_Scl_000208,-1.94,
SAGA_Scl_000210,-1.31,-0.02
SAGA_Scl_000210,-1.35,0.01
SAGA_Scl_000212,-1.58,0.45
SAGA_Scl_000212,-1.75,
SAGA_Scl_000212,-1.59,0.47
SAGA_Scl_000213,-1.29,-0.24
SAGA_Scl_000213,-1.44,
SAGA_Scl_000213,-1.27,-0.04
SAGA_Scl_000214,-1.18,-0.33
SAGA_Scl_000214,-1.09,-0.48
SAGA_Scl_000215,-1.42,0.12
SAGA_Scl_000215,-1.57,
SAGA_Scl_000215,-1.59,
SAGA_Scl_000215,-1.42,0.03
SAGA_Scl_000215,-1.55,
SAGA_Scl_000216,-1.3,-0.15
SAGA_Scl_000216,-1.43,
SAGA_Scl_000216,-1.23,-0.25
SAGA_Scl_000216,-1.41,
SAGA_Scl_000218,-1.62,0.31
SAGA_Scl_000218,-1.72,
SAGA_Scl_000218,-1.57,0.15
SAGA_Scl_000218,-1.71,
SAGA_Scl_000219,-0.96,-0.6
SAGA_Scl_000219,-1.07,
SAGA_Scl_000219,-0.9,-0.65
SAGA_Scl_000219,-1.06,
SAGA_Scl_000220,-1.65,0.01
SAGA_Scl_000220,-1.81,
SAGA_Scl_000220,-1.65,0.07
SAGA_Scl_000220,-1.79,
SAGA_Scl_000222,-0.92,-0.7
SAGA_Scl_000222,-1.09,
SAGA_Scl_000222,-0.88,-0.46
SAGA_Scl_000225,-0.84,0.15
SAGA_Scl_000225,-0.87,0.08
SAGA_Scl_000226,-2.09,0.45
SAGA_Scl_000226,-1.99,
SAGA_Scl_000226,-1.97,0.08
SAGA_Scl_000226,-1.98,
SAGA_Scl_000228,-1.41,0.24
SAGA_Scl_000228,-1.41,0.28
SAGA_Scl_000230,-1.57,0.38
SAGA_Scl_000230,-1.51,0.26
SAGA_Scl_000233,-1.77,0.28
SAGA_Scl_000233,-1.9,
SAGA_Scl_000233,-1.77,0.21
SAGA_Scl_000233,-1.88,
SAGA_Scl_000234,-1.64,0.18
SAGA_Scl_000234,-1.67,
SAGA_Scl_000234,-1.7,
SAGA_Scl_000234,-1.53,0.12
SAGA_Scl_000234,-1.66,
SAGA_Scl_000236,-1.38,0.44
SAGA_Scl_000236,-1.27,0.26
SAGA_Scl_000238,-1.24,0.1
SAGA_Scl_000238,-1.18,
SAGA_Scl_000239,-1.08,-0.13
SAGA_Scl_000239,-1,-0.28
SAGA_Scl_000240,-2.24,0.52
SAGA_Scl_000240,-2.32,
SAGA_Scl_000240,-2.29,0.5
SAGA_Scl_000241,-1.18,-0.34
SAGA_Scl_000241,-1.3,
SAGA_Scl_000241,-1.12,-0.29
SAGA_Scl_000241,-1.29,
SAGA_Scl_000242,-2.4,0.4
SAGA_Scl_000242,-2.59,
SAGA_Scl_000242,-2.41,0.32
SAGA_Scl_000242,-2.58,
SAGA_Scl_000245,-1.74,0.36
SAGA_Scl_000245,-1.67,0.21
SAGA_Scl_000246,-1.25,-0.71
SAGA_Scl_000246,-1.42,
SAGA_Scl_000246,-1.23,
SAGA_Scl_000246,-1.41,
SAGA_Scl_000247,-1.93,0.23
SAGA_Scl_000247,-1.96,
SAGA_Scl_000247,-1.8,
SAGA_Scl_000248,-2.15,
SAGA_Scl_000248,-2.13,0.46
SAGA_Scl_000249,-1.31,-0.01
SAGA_Scl_000249,-1.37,
SAGA_Scl_000249,-1.43,
SAGA_Scl_000249,-1.16,-0.29
SAGA_Scl_000249,-1.41,
SAGA_Scl_000253,-1.11,
SAGA_Scl_000253,-1.25,
SAGA_Scl_000253,-1.09,0.04
SAGA_Scl_000253,-1.24,
SAGA_Scl_000255,-1.16,0.36
SAGA_Scl_000255,-1.38,
SAGA_Scl_000255,-1.13,0.14
SAGA_Scl_000256,-1.18,-0.13
SAGA_Scl_000256,-1.31,
SAGA_Scl_000256,-1.07,-0.31
SAGA_Scl_000256,-1.3,
SAGA_Scl_000258,-1.79,0.2
SAGA_Scl_000258,-1.74,
SAGA_Scl_000261,-1.56,
SAGA_Scl_000261,-1.49,-0.89
SAGA_Scl_000262,-1.95,0.31
SAGA_Scl_000262,-2.1,
SAGA_Scl_000262,-1.92,0.37
SAGA_Scl_000262,-2.08,
SAGA_Scl_000263,-1.47,0.18
SAGA_Scl_000263,-1.13,-0.27
SAGA_Scl_000264,-1.97,0.45
SAGA_Scl_000264,-2.08,
SAGA_Scl_000264,-1.92,0.13
SAGA_Scl_000264,-2.07,
SAGA_Scl_000265,-1.11,-0.23
SAGA_Scl_000265,-1.27,
SAGA_Scl_000265,-1.04,
SAGA_Scl_000265,-1.25,
SAGA_Scl_000268,-1.68,0.11
SAGA_Scl_000268,-1.6,-0.12
SAGA_Scl_000268,-1.92,
SAGA_Scl_000269,-1.71,0.4
SAGA_Scl_000269,-1.78,
SAGA_Scl_000269,-1.68,0.4
SAGA_Scl_000271,-1.32,-0.05
SAGA_Scl_000271,-1.4,
SAGA_Scl_000271,-1.21,-0.14
SAGA_Scl_000271,-1.39,
SAGA_Scl_000272,-1.48,0.66
SAGA_Scl_000272,-1.52,0.42
SAGA_Scl_000273,-1.96,0.73
SAGA_Scl_000273,-1.95,0.69
SAGA_Scl_000275,-1.37,-0.47
SAGA_Scl_000275,-1.54,
SAGA_Scl_000275,-1.4,-0.29
SAGA_Scl_000275,-1.53,
SAGA_Scl_000276,-1,0.24
SAGA_Scl_000276,-0.85,-0.06
SAGA_Scl_000277,-2.05,0.77
SAGA_Scl_000277,-2.27,
SAGA_Scl_000277,-2.09,0.7
SAGA_Scl_000277,-2.25,
SAGA_Scl_000279,-1.45,0.3
SAGA_Scl_000279,-1.37,0.19
SAGA_Scl_000280,-1.27,0.11
SAGA_Scl_000280,-1.61,
SAGA_Scl_000280,-1.18,0.09
SAGA_Scl_000281,-1.62,0.18
SAGA_Scl_000281,-1.83,
SAGA_Scl_000281,-1.66,0.38
SAGA_Scl_000282,-1.17,-0.03
SAGA_Scl_000282,-1.02,-0.19
SAGA_Scl_000282,-1.46,
SAGA_Scl_000283,-1.78,0.35
SAGA_Scl_000283,-1.88,
SAGA_Scl_000283,-1.7,0.31
SAGA_Scl_000283,-1.86,
SAGA_Scl_000284,-1.21,0.01
SAGA_Scl_000284,-1.16,-0.16
SAGA_Scl_000285,-2.37,
SAGA_Scl_000285,-2.44,
SAGA_Scl_000285,-2.27,0.81
SAGA_Scl_000286,-1.14,0.09
SAGA_Scl_000286,-1,-0.09
SAGA_Scl_000287,-1.25,-0.15
SAGA_Scl_000287,-1.21,-0.27
SAGA_Scl_000288,-1.25,0.13
SAGA_Scl_000288,-1.38,
SAGA_Scl_000288,-1.14,0.11
SAGA_Scl_000288,-1.37,
SAGA_Scl_000290,-1.97,0.5
SAGA_Scl_000290,-2.03,0.46
SAGA_Scl_000291,-1.21,-0.01
SAGA_Scl_000291,-1.11,-0.2
SAGA_Scl_000293,-1.27,-0.86
SAGA_Scl_000293,-1.37,
SAGA_Scl_000293,-1.18,-0.73
SAGA_Scl_000293,-1.36,
SAGA_Scl_000294,-1.26,-0.04
SAGA_Scl_000294,-1.37,
SAGA_Scl_000294,-1.16,-0.15
SAGA_Scl_000294,-1.35,
SAGA_Scl_000296,-1.13,0.07
SAGA_Scl_000296,-1.07,-0.11
SAGA_Scl_000297,-1.12,0.16
SAGA_Scl_000297,-0.91,-0.31
SAGA_Scl_000298,-3.78,
SAGA_Scl_000298,-3.68,0.58
SAGA_Scl_000298,-3.63,
SAGA_Scl_000298,-3.7,
SAGA_Scl_000299,-1.89,0.01
SAGA_Scl_000299,-2.01,
SAGA_Scl_000299,-1.87,0.17
SAGA_Scl_000299,-2,
SAGA_Scl_000301,-1.79,0.82
SAGA_Scl_000301,-1.94,
SAGA_Scl_000301,-1.82,0.58
SAGA_Scl_000301,-1.92,
SAGA_Scl_000302,-1.3,0.05
SAGA_Scl_000302,-1.45,
SAGA_Scl_000302,-1.26,-0.05
SAGA_Scl_000302,-1.43,
SAGA_Scl_000303,-1.11,
SAGA_Scl_000303,-1.16,-0.49
SAGA_Scl_000304,-1.14,-0.37
SAGA_Scl_000304,-1.27,
SAGA_Scl_000304,-1.04,-0.61
SAGA_Scl_000304,-1.26,
SAGA_Scl_000305,-1.32,0.27
SAGA_Scl_000305,-1.44,
SAGA_Scl_000305,-1.19,0.06
SAGA_Scl_000305,-1.43,
SAGA_Scl_000306,-1.59,0.15
SAGA_Scl_000306,-1.54,-0.08
SAGA_Scl_000309,-1.07,0.5
SAGA_Scl_000309,-1.32,
SAGA_Scl_000309,-1.13,0.4
SAGA_Scl_000311,-2.14,0.21
SAGA_Scl_000311,-2.26,
SAGA_Scl_000311,-2.11,0.23
SAGA_Scl_000312,-1.28,0.79
SAGA_Scl_000313,-1.72,-0.15
SAGA_Scl_000313,-1.64,-0.27
SAGA_Scl_000314,-1.68,
SAGA_Scl_000314,-1.73,
SAGA_Scl_000314,-1.61,0.03
SAGA_Scl_000315,-2.1,0.39
SAGA_Scl_000315,-2.17,0.49
SAGA_Scl_000316,-1.16,-0.16
SAGA_Scl_000316,-1.13,-0.2
SAGA_Scl_000317,-1.63,0.56
SAGA_Scl_000317,-1.85,
SAGA_Scl_000317,-1.7,0.51
SAGA_Scl_000317,-1.84,
SAGA_Scl_000318,-1.19,-0.52
SAGA_Scl_000318,-1.29,
SAGA_Scl_000318,-1.13,-0.69
SAGA_Scl_000318,-1.27,
SAGA_Scl_000319,-1.22,0.18
SAGA_Scl_000319,-1.17,0.09
SAGA_Scl_000321,-2.07,0.51
SAGA_Scl_000321,-2,
SAGA_Scl_000322,-1.93,
SAGA_Scl_000322,-1.94,-0.34
SAGA_Scl_000323,-1.47,0.37
SAGA_Scl_000324,-2.54,0.2
SAGA_Scl_000324,-1.32,
SAGA_Scl_000324,-2.65,
SAGA_Scl_000324,-2.55,0.44
SAGA_Scl_000324,-2.63,
SAGA_Scl_000325,-1.06,-0.19
SAGA_Scl_000325,-0.91,-0.09
SAGA_Scl_000329,-1.22,-0.32
SAGA_Scl_000329,-1.4,
SAGA_Scl_000329,-1.18,-0.53
SAGA_Scl_000330,-2.11,0.69
SAGA_Scl_000330,-2.41,
SAGA_Scl_000330,-2.11,
SAGA_Scl_000330,-2.08,0.55
SAGA_Scl_000331,-1.48,-0.36
SAGA_Scl_000331,-1.56,
SAGA_Scl_000331,-1.37,
SAGA_Scl_000331,-1.54,
SAGA_Scl_000333,-1.56,0.24
SAGA_Scl_000333,-1.51,0.02
SAGA_Scl_000334,-1.03,-0.22
SAGA_Scl_000334,-1.16,
SAGA_Scl_000334,-0.9,-0.62
SAGA_Scl_000334,-1.14,
SAGA_Scl_000336,-1.66,0.09
SAGA_Scl_000336,-1.64,0.01
SAGA_Scl_000337,-1.63,0.3
SAGA_Scl_000337,-1.62,0.41
SAGA_Scl_000338,-2.04,0.99
SAGA_Scl_000338,-2.07,
SAGA_Scl_000338,-1.9,
SAGA_Scl_000343,-1.35,-0.01
SAGA_Scl_000343,-1.45,
SAGA_Scl_000343,-1.24,-0.01
SAGA_Scl_000343,-1.42,
SAGA_Scl_000344,-2.3,0.86
SAGA_Scl_000344,-2.3,0.58
SAGA_Scl_000345,-1.71,
SAGA_Scl_000345,-1.74,
SAGA_Scl_000345,-1.58,-0.29
SAGA_Scl_000345,-1.72,
SAGA_Scl_000346,-1.17,0.07
SAGA_Scl_000346,-1.26,
SAGA_Scl_000346,-1.12,-0.36
SAGA_Scl_000348,-1.34,
SAGA_Scl_000348,-1.1,-0.01
SAGA_Scl_000349,-1.95,0.24
SAGA_Scl_000349,-1.96,0.45
SAGA_Scl_000351,-1.65,0.17
SAGA_Scl_000351,-1.76,
SAGA_Scl_000351,-1.57,0.04
SAGA_Scl_000354,-1.57,
SAGA_Scl_000354,-1.79,
SAGA_Scl_000354,-1.59,-0.51
SAGA_Scl_000354,-1.78,
SAGA_Scl_000355,-1.18,-0.06
SAGA_Scl_000355,-1.22,
SAGA_Scl_000355,-1,-0.59
SAGA_Scl_000355,-1.2,
SAGA_Scl_000356,-1.49,0.37
SAGA_Scl_000356,-1.81,
SAGA_Scl_000356,-1.45,0.32
SAGA_Scl_000356,-1.8,
SAGA_Scl_000358,-1.86,
SAGA_Scl_000358,-2.1,
SAGA_Scl_000358,-1.87,0.69
SAGA_Scl_000359,-2.03,0.25
SAGA_Scl_000359,-2.18,
SAGA_Scl_000359,-2.04,
SAGA_Scl_000359,-2.17,
SAGA_Scl_000360,-1.57,0.64
SAGA_Scl_000360,-1.65,
SAGA_Scl_000360,-1.42,0.36
SAGA_Scl_000361,-1.3,-0.12
SAGA_Scl_000361,-1.33,
SAGA_Scl_000361,-1.22,-0.56
SAGA_Scl_000361,-1.33,
SAGA_Scl_000362,-1.27,-0.37
SAGA_Scl_000362,-1.43,
SAGA_Scl_000362,-1.2,-0.49
SAGA_Scl_000362,-1.41,
SAGA_Scl_000363,-1.61,0.47
SAGA_Scl_000363,-1.73,
SAGA_Scl_000363,-1.57,0.17
SAGA_Scl_000363,-1.71,
SAGA_Scl_000364,-1.38,-0.13
SAGA_Scl_000364,-1.18,
SAGA_Scl_000365,-1.18,-0.27
SAGA_Scl_000365,-0.99,-0.64
SAGA_Scl_000368,-2.36,0.9
SAGA_Scl_000368,-2.5,
SAGA_Scl_000368,-2.36,
SAGA_Scl_000369,-1.23,0.05
SAGA_Scl_000369,-1.21,
SAGA_Scl_000369,-1.14,-0.09
SAGA_Scl_000373,-1.54,-0.26
SAGA_Scl_000373,-1.46,-0.43
SAGA_Scl_000374,-0.9,0.28
SAGA_Scl_000374,-1.03,
SAGA_Scl_000374,-0.8,0.2
SAGA_Scl_000374,-1.01,
SAGA_Scl_000375,-1.16,-0.2
SAGA_Scl_000375,-1.05,-0.24
SAGA_Scl_000376,-1.42,-0.03
SAGA_Scl_000376,-1.42,-0.23
SAGA_Scl_000377,-2,
SAGA_Scl_000377,-2.03,0.33
SAGA_Scl_000378,-2.17,0.62
SAGA_Scl_000378,-2.15,0.61
SAGA_Scl_000379,-1.99,0.99
SAGA_Scl_000379,-2.03,0.91
SAGA_Scl_000382,-1.34,-0.1
SAGA_Scl_000382,-1.17,
SAGA_Scl_000384,-1.05,-0.13
SAGA_Scl_000384,-1.16,
SAGA_Scl_000384,-0.97,-0.16
SAGA_Scl_000384,-1.15,
SAGA_Scl_000385,-1.77,0.47
SAGA_Scl_000385,-1.75,0.32
SAGA_Scl_000386,-1.64,0.16
SAGA_Scl_000386,-1.7,-0.05
SAGA_Scl_000391,-2.16,
SAGA_Scl_000391,-2.17,0.91
SAGA_Scl_000394,-1.27,0.19
SAGA_Scl_000394,-1.36,
SAGA_Scl_000394,-1.2,0.09
SAGA_Scl_000396,-1.29,-0.23
SAGA_Scl_000396,-1.21,-0.32
SAGA_Scl_000397,-1.16,-0.3
SAGA_Scl_000398,-1.64,
SAGA_Scl_000398,-1.58,-0.39
SAGA_Scl_000399,-1.64,-0.51
SAGA_Scl_000399,-1.63,
SAGA_Scl_000403,-1.13,-0.1
SAGA_Scl_000403,-0.99,-0.19
SAGA_Scl_000405,-1.86,0.72
SAGA_Scl_000405,-2.06,
SAGA_Scl_000405,-1.92,0.74
SAGA_Scl_000405,-2.05,
SAGA_Scl_000407,-1.11,0.05
SAGA_Scl_000407,-1.17,
SAGA_Scl_000407,-0.96,-0.19
SAGA_Scl_000407,-1.16,
SAGA_Scl_000412,-1.35,0.29
SAGA_Scl_000412,-1.29,0.06
SAGA_Scl_000413,-1.7,0.16
SAGA_Scl_000413,-1.67,0.23
SAGA_Scl_000415,-1.5,0.15
SAGA_Scl_000415,-1.66,
SAGA_Scl_000415,-1.42,-0.06
SAGA_Scl_000415,-1.64,
SAGA_Scl_000416,-1.31,0.01
SAGA_Scl_000418,-1.48,-0.02
SAGA_Scl_000418,-1.52,
SAGA_Scl_000418,-1.4,
SAGA_Scl_000421,-1.11,-0.02
SAGA_Scl_000421,-1.05,-0.63
SAGA_Scl_000423,-1.6,0.06
SAGA_Scl_000423,-1.56,0.19
SAGA_Scl_000425,-2.07,1
SAGA_Scl_000425,-2.13,0.98
SAGA_Scl_000430,-1.77,0.94
SAGA_Scl_000430,-2.3,
SAGA_Scl_000430,-2.12,
SAGA_Scl_000431,-1.22,-0.13
SAGA_Scl_000431,-1.14,-0.1
SAGA_Scl_000433,-2.47,0.87
SAGA_Scl_000433,-2.5,0.78
SAGA_Scl_000434,-3.48,0.2
SAGA_Scl_000434,-3.31,0.62
SAGA_Scl_000435,-3.96,-0.03
SAGA_Scl_000435,-4.05,0.3
SAGA_Scl_000435,-3.87,
SAGA_Scl_000436,-1.5,
SAGA_Scl_000436,-1.27,0.24
SAGA_Scl_000437,-1.13,
SAGA_Scl_000437,-0.89,0.35
SAGA_Scl_000439,-1.4,0.26
SAGA_Scl_000441,-1.11,-0.34
SAGA_Scl_000442,-2.38,0.52
SAGA_Scl_000443,-3.15,
SAGA_Scl_000443,-3,0.2
SAGA_Scl_000444,-3.31,0.25
SAGA_Scl_000444,-3,0.15
SAGA_Scl_000445,-3.88,0.11
SAGA_Scl_000445,-3.47,-0.21
SAGA_Scl_000446,-2.46,-0.17
SAGA_Scl_000447,-2.91,0.43
SAGA_Scl_000448,-3.45,0.38
SAGA_Scl_000448,-3.35,0.18
SAGA_Scl_000449,-3.17,0.55
SAGA_Scl_000450,-3.22,0.4
SAGA_Scl_000450,-3,
SAGA_Scl_000450,-2.81,
SAGA_Scl_000451,-3.77,-0.39
SAGA_Scl_000451,-3.99,
SAGA_Scl_000452,-3.52,0.44
SAGA_Scl_000452,-3.91,
SAGA_UMi_000001,-1.61,
SAGA_UMi_000001,-1.68,0.22
SAGA_UMi_000001,-1.67,0.37
SAGA_UMi_000001,-1.47,-0.23
SAGA_UMi_000001,-1.6,
SAGA_UMi_000002,-2.2,
SAGA_UMi_000002,-1.91,0.41
SAGA_UMi_000002,-2.01,0.24
SAGA_UMi_000002,-2.19,
SAGA_UMi_000003,-2.74,
SAGA_UMi_000003,-2.18,0.21
SAGA_UMi_000003,-2.32,
SAGA_UMi_000003,-2.72,
SAGA_UMi_000004,-2.1,
SAGA_UMi_000004,-2.01,0.3
SAGA_UMi_000004,-1.95,
SAGA_UMi_000004,-1.68,
SAGA_UMi_000005,,
SAGA_UMi_000005,-2.17,0.67
SAGA_UMi_000005,-2.34,
SAGA_UMi_000005,-1.66,
SAGA_UMi_000006,-1.47,
SAGA_UMi_000006,-1.45,0
SAGA_UMi_000006,-1.51,0.12
SAGA_UMi_000006,-1.34,-0.47
SAGA_UMi_000006,-1.55,
SAGA_UMi_000007,-2.65,0.29
SAGA_UMi_000008,-2.47,0.41
SAGA_UMi_000010,-1.81,0.74
SAGA_UMi_000023,-1.82,0.79
SAGA_UMi_000024,-2.23,
SAGA_UMi_000024,-2.05,0.65
SAGA_UMi_000024,-2.22,
SAGA_UMi_000025,-2.48,0.41
SAGA_UMi_000027,-1.91,0.81
SAGA_UMi_000032,-2.14,
SAGA_UMi_000032,-1.96,0.51
SAGA_UMi_000032,-2.13,
SAGA_UMi_000034,-3.13,0.42
SAGA_UMi_000036,-1.75,0.84
SAGA_UMi_000038,-3.14,0.35
SAGA_UMi_000038,-3.45,
SAGA_UMi_000042,-2.33,
SAGA_UMi_000042,-2.16,0.35
SAGA_UMi_000042,-2.32,
SAGA_UMi_000046,-1.93,0.81
SAGA_UMi_000047,-1.91,
SAGA_UMi_000047,-1.71,0.4
SAGA_UMi_000047,-1.9,
SAGA_UMi_000049,-2.01,
SAGA_UMi_000049,-1.83,0.93
SAGA_UMi_000059,-2.49,
SAGA_UMi_000059,-2.32,0.07
SAGA_UMi_000059,-2.48,
SAGA_UMi_000063,-2.15,
SAGA_UMi_000063,-1.97,0.08
SAGA_UMi_000064,-2.14,0.93
SAGA_UMi_000066,-0.99,0.36
SAGA_UMi_000067,-2.69,0.72
SAGA_UMi_000069,-1.8,0.27
SAGA_UMi_000076,-2.24,
SAGA_UMi_000076,-2.08,-0.29
SAGA_UMi_000076,-2.21,
SAGA_UMi_000077,-2.05,
SAGA_UMi_000077,-1.86,-0.22
SAGA_UMi_000077,-2,
SAGA_UMi_000080,-1.92,
SAGA_UMi_000080,-1.76,0.13
SAGA_UMi_000080,-1.89,
SAGA_UMi_000082,-1.6,0.12
SAGA_UMi_000094,-2.17,0.6
SAGA_UMi_000097,-1.79,0.66
SAGA_UMi_000098,-1.4,-0.35
SAGA_UMi_000103,-1.8,0.48
SAGA_UMi_000110,-2.14,
SAGA_UMi_000110,-1.97,0.24
SAGA_UMi_000110,-2.12,
SAGA_UMi_000112,-2.08,0.49
SAGA_UMi_000126,-1.64,
SAGA_UMi_000126,-1.49,-0.09
SAGA_UMi_000128,-2.24,0.49
SAGA_UMi_000131,-1.6,0.23
SAGA_UMi_000134,-2.29,0.71
SAGA_UMi_000136,-3.15,0.27
SAGA_UMi_000137,-2.12,0.94
SAGA_UMi_000137,-2.34,
SAGA_UMi_000141,-1.69,
SAGA_UMi_000141,-1.51,0.09
SAGA_UMi_000142,-1.75,
SAGA_UMi_000142,-1.71,0.52
SAGA_UMi_000144,-2.25,0.41
SAGA_UMi_000145,-2.18,
SAGA_UMi_000145,-1.99,0.83
SAGA_UMi_000145,-2.15,
SAGA_UMi_000146,-1.91,-0.08
SAGA_UMi_000146,-2.05,
SAGA_UMi_000150,-1.81,-0.09
SAGA_UMi_000151,-2.2,0.33
SAGA_UMi_000154,-2.14,
SAGA_UMi_000154,-1.99,0.01
SAGA_UMi_000154,-2.1,
SAGA_UMi_000156,-2.47,
SAGA_UMi_000156,-2.31,0.44
SAGA_UMi_000160,-2.63,0.74
SAGA_UMi_000161,-1.55,0.4
SAGA_UMi_000163,-1.85,0.52
SAGA_UMi_000165,-1.72,0.65
SAGA_UMi_000169,-2,
SAGA_UMi_000169,-1.83,0.22
SAGA_UMi_000169,-1.99,
SAGA_UMi_000171,-2.17,0.49
SAGA_UMi_000175,-2.23,0.37
SAGA_UMi_000186,-2.25,0.21
SAGA_UMi_000188,-2.25,
SAGA_UMi_000188,-2.09,0.39
SAGA_UMi_000190,-1.81,
SAGA_UMi_000190,-1.65,-0.49
SAGA_UMi_000190,-1.82,
SAGA_UMi_000191,-1.73,
SAGA_UMi_000191,-1.55,0.3
SAGA_UMi_000193,-1.7,-0.09
SAGA_UMi_000197,-2.33,0.54
SAGA_UMi_000201,-2.34,
SAGA_UMi_000201,-2.21,0.3
SAGA_UMi_000201,-2.3,
SAGA_UMi_000204,-2.07,
SAGA_UMi_000204,-1.9,0.69
SAGA_UMi_000204,-2.03,
SAGA_UMi_000206,-1.94,0.32
SAGA_UMi_000208,-1.96,
SAGA_UMi_000208,-1.81,-0.17
SAGA_UMi_000208,-1.95,
SAGA_UMi_000210,-2.51,
SAGA_UMi_000210,-2.33,0.88
SAGA_UMi_000215,-1.83,
SAGA_UMi_000215,-1.68,0.28
SAGA_UMi_000215,-1.81,
SAGA_UMi_000219,-2.29,
SAGA_UMi_000219,-2.14,0.63
SAGA_UMi_000219,-2.28,
SAGA_UMi_000220,-2.12,
SAGA_UMi_000220,-1.81,0.21
SAGA_UMi_000220,-1.92,0.23
SAGA_UMi_000220,-2.09,
SAGA_UMi_000221,-2.13,0.4
SAGA_UMi_000222,-1.96,0.29
SAGA_UMi_000223,-2.13,0.32
SAGA_UMi_000224,-2.67,0.33
SAGA_UMi_000225,-2.12,0.26