# Object,[Fe/H],[Ti/Fe]
SAGA_Car_000001,-1.94,0.18
SAGA_Car_000001,-2.13,0.39
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,0.14
SAGA_Car_000002,-1.68,0.42
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-0.34
SAGA_Car_000003,-2.19,0.87
SAGA_Car_000003,-1.82,-0.08
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,0.11
SAGA_Car_000004,-1.67,0.58
SAGA_Car_000004,-1.29,0.08
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,0.1
SAGA_Car_000005,-1.7,0.54
SAGA_Car_000005,-1.39,
SAGA_Car_000258,-2.53,0.4
SAGA_Car_000258,-2.33,0.58
SAGA_Car_000258,-2.04,
SAGA_Car_000323,-1.3,0.27
SAGA_Car_000323,-1.43,0.13
SAGA_Car_000323,-2,0.66
SAGA_Car_000323,-1.61,0.16
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,-0.1
SAGA_Car_000324,-1.6,-0.01
SAGA_Car_000324,-1.49,0.29
SAGA_Car_000324,-1.63,
SAGA_Car_000370,-1.85,0.16
SAGA_Car_000370,-1.52,
SAGA_Car_000370,-1.43,
SAGA_Car_000398,-2.81,0.65
SAGA_Car_000398,,
SAGA_Car_000398,-2.86,
SAGA_Car_000401,-1.55,0.67
SAGA_Car_000401,-1.54,
SAGA_Car_000409,-2.08,0.34
SAGA_Car_000409,-1.89,0.43
SAGA_Car_000409,-1.74,
SAGA_Car_000420,-2.51,0.29
SAGA_Car_000420,-2.29,
SAGA_Car_000429,-2.86,0.11
SAGA_Car_000429,-2.62,
SAGA_Car_000437,-2.08,-0.08
SAGA_Car_000437,-1.99,0.22
SAGA_Car_000437,-1.96,0.29
SAGA_Car_000437,-2.13,
SAGA_Car_000438,-2.08,0.06
SAGA_Car_000438,-1.72,-0.26
SAGA_Car_000438,-1.68,0.1
SAGA_Car_000438,-1.56,
SAGA_Car_000458,-1.58,-0.19
SAGA_Car_000458,-1.33,
SAGA_Car_000462,-1.93,0.26
SAGA_Car_000462,-1.35,0.07
SAGA_Car_000462,-1.47,
SAGA_Car_000477,-1.9,-0.03
SAGA_Car_000477,-1.59,0.19
SAGA_Car_000477,-1.56,
SAGA_Car_000495,-1.52,0
SAGA_Car_000495,-1.84,0.48
SAGA_Car_000495,-1.42,0.21
SAGA_Car_000495,-1.61,
SAGA_Car_000513,-1.47,0.28
SAGA_Car_000513,-1.36,
SAGA_Car_000528,-1.83,-0.23
SAGA_Car_000528,-1.5,0.21
SAGA_Car_000528,-1.6,
SAGA_Car_000551,-1.34,1.16
SAGA_Car_000551,-1.42,
SAGA_Car_000589,-2.34,0.54
SAGA_Car_000589,-2.13,0.37
SAGA_Car_000589,-2.05,
SAGA_Car_000591,,
SAGA_Car_000591,-1.78,0.3
SAGA_Car_000591,-2.27,
SAGA_Car_000617,-1.95,0.09
SAGA_Car_000617,-1.63,0.51
SAGA_Car_000617,-1.56,0.24
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,0.27
SAGA_Car_000619,-1.89,0.05
SAGA_Car_000619,-1.57,0.23
SAGA_Car_000619,-1.66,
SAGA_Car_000625,-2.23,-0.12
SAGA_Car_000625,-1.78,-0.07
SAGA_Car_000625,-2.03,
SAGA_Car_000697,-1.79,-0.08
SAGA_Car_000697,-1.73,0.45
SAGA_Car_000697,-1.66,
SAGA_Car_000712,-1.57,0.74
SAGA_Car_000712,-1.68,
SAGA_Car_000717,-1.35,0.02
SAGA_Car_000717,-1.3,-0.22
SAGA_Car_000717,-1.92,0.21
SAGA_Car_000717,-1.34,0.13
SAGA_Car_000717,-1.39,
SAGA_Car_000727,-1.48,-0.07
SAGA_Car_000727,-1.17,
SAGA_Car_000817,-1.57,0.27
SAGA_Car_000817,-2.2,
SAGA_Car_000835,-2,0.13
SAGA_Car_000835,-1.79,
SAGA_Car_000867,-1.84,0.18
SAGA_Car_000867,-1.68,
SAGA_Car_000894,-1.53,0.07
SAGA_Car_000894,-2.14,0.28
SAGA_Car_000894,-1.43,
SAGA_Car_000897,-1.75,-0.02
SAGA_Car_000897,-1.88,0.42
SAGA_Car_000897,-1.5,
SAGA_Car_000926,-1.71,0.66
SAGA_Car_000926,-1.49,
SAGA_Car_000930,-1.53,0.23
SAGA_Car_000930,-1.41,-0.12
SAGA_Car_000930,-1.76,0.63
SAGA_Car_000930,-1.43,0.15
SAGA_Car_000930,-1.37,
SAGA_Car_001197,-1.82,-0.25
SAGA_Car_001197,-2.17,0.54
SAGA_Car_001197,-2.04,0.59
SAGA_Car_001198,-1.39,-0.09
SAGA_Car_001198,-1.53,-0.1
SAGA_Car_001198,-1.28,0.12
SAGA_Car_001199,-2.75,0.1
SAGA_Car_001199,-2.85,0.66
SAGA_Car_001200,-1.3,-0.42
SAGA_Car_001200,-1.52,-0.83
SAGA_Car_001200,-1.56,-0.03
SAGA_Car_001200,-1.29,-0.32
SAGA_Car_001201,-1.5,0.14
SAGA_Car_001202,-1.75,-0.01
SAGA_Car_001202,-1.75,0.37
SAGA_Car_001203,-1.83,0.3
SAGA_Car_001203,-1.39,0.08
SAGA_Car_001204,-1.24,0.54
SAGA_Car_001205,-1.51,1.09
SAGA_Car_001206,-1.62,0.14
SAGA_Car_001206,-1.18,-0.72
SAGA_Car_001206,-1.3,-0.03
SAGA_Car_001208,-1.8,0.22
SAGA_Car_001208,-1.43,-0.06
SAGA_Car_001208,-1.26,0.06
SAGA_Car_001209,-2.15,-0.08
SAGA_Car_001209,-2.52,
SAGA_Car_001209,-2.5,0.1
SAGA_Car_001210,-1.21,0.61
SAGA_Car_001211,-1.2,0.48
SAGA_Car_001212,-1.64,0.16
SAGA_Car_001213,-1.39,0.11
SAGA_Car_001214,-1.75,-0.11
SAGA_Car_001215,-2.5,0.42
SAGA_Car_001215,-2.29,1.12
SAGA_Car_001215,-2.29,0.33
SAGA_Car_001216,-1.73,0.15
SAGA_Car_001217,-1.67,-0.27
SAGA_Car_001218,-1.54,0.39
SAGA_Car_001219,-1.57,0.49
SAGA_Car_001220,-1.57,0.84
SAGA_Car_001221,-2.65,0.28
SAGA_Car_001221,-2.32,0.2
SAGA_Car_001221,-2.03,
SAGA_Car_001222,-1.6,0.31
SAGA_Car_001223,-1.99,0.22
SAGA_Car_001224,-1.8,0.08
SAGA_Car_001225,-1.85,
SAGA_Car_001225,-1.6,0.64
SAGA_Car_001226,-2.03,0.85
SAGA_Car_001226,-1.27,0.63
SAGA_Car_001227,-2.48,0.35
SAGA_Car_001227,-1.72,-0.14
SAGA_Car_001228,-1.88,-0.08
SAGA_Car_001228,-1.48,0.38
SAGA_Car_001229,-1.74,0.31
SAGA_Car_001229,-1.48,0.12
SAGA_Dra_000001,-2.93,0.09
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.91,
SAGA_Dra_000001,-2.97,0.1
SAGA_Dra_000001,-2.97,-0.1
SAGA_Dra_000001,-2.78,0.03
SAGA_Dra_000001,-3,
SAGA_Dra_000002,-1.44,0.14
SAGA_Dra_000002,-1.44,-0.11
SAGA_Dra_000003,-2.55,
SAGA_Dra_000003,-2.47,
SAGA_Dra_000003,-2.36,0.36
SAGA_Dra_000003,-2.36,0.03
SAGA_Dra_000003,-2.39,
SAGA_Dra_000004,-1.77,
SAGA_Dra_000004,-2.05,
SAGA_Dra_000004,-1.67,0.61
SAGA_Dra_000004,-1.67,0.09
SAGA_Dra_000004,-1.55,-0.23
SAGA_Dra_000004,-1.74,
SAGA_Dra_000005,-2.05,
SAGA_Dra_000005,-1.86,0.04
SAGA_Dra_000005,-1.78,-0.13
SAGA_Dra_000005,-1.95,
SAGA_Dra_000006,-2.05,
SAGA_Dra_000006,-2.11,
SAGA_Dra_000006,-1.72,0.16
SAGA_Dra_000006,-1.74,-0.08
SAGA_Dra_000006,-1.99,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,0.04
SAGA_Dra_000007,-1.73,-0.11
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,0.04
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,0.16
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,0.13
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-0.08
SAGA_Dra_000010,-1.41,-0.23
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,0.06
SAGA_Dra_000011,-2.56,-0.2
SAGA_Dra_000012,-3.06,0.04
SAGA_Dra_000012,-2.76,-0.11
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,0.01
SAGA_Dra_000013,-1.59,-0.15
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-0.31
SAGA_Dra_000019,-2.01,
SAGA_Dra_000019,-1.75,-0.03
SAGA_Dra_000019,-1.96,
SAGA_Dra_000020,-2.24,
SAGA_Dra_000020,-1.93,-0.03
SAGA_Dra_000021,,
SAGA_Dra_000021,-2.15,
SAGA_Dra_000021,-1.87,-0.13
SAGA_Dra_000021,-2.09,
SAGA_Dra_000023,-2.01,-0.13
SAGA_Dra_000024,-2.01,
SAGA_Dra_000024,-1.76,0.29
SAGA_Dra_000025,-1.55,0.39
SAGA_Dra_000026,-1.92,
SAGA_Dra_000026,-1.6,-0.18
SAGA_Dra_000029,-1.9,
SAGA_Dra_000029,-1.64,0.21
SAGA_Dra_000030,-2.38,
SAGA_Dra_000030,-2.07,0.34
SAGA_Dra_000030,-2.26,
SAGA_Dra_000034,-2.33,
SAGA_Dra_000034,-2.02,-0.27
SAGA_Dra_000036,-2.29,
SAGA_Dra_000036,-1.96,0.18
SAGA_Dra_000038,-1.6,
SAGA_Dra_000038,-1.25,-0.65
SAGA_Dra_000038,-1.46,
SAGA_Dra_000040,-2.03,
SAGA_Dra_000040,-1.73,-0.23
SAGA_Dra_000040,-1.95,
SAGA_Dra_000043,-2.01,
SAGA_Dra_000043,-1.72,-0.08
SAGA_Dra_000044,-1.95,1.07
SAGA_Dra_000049,-2.07,
SAGA_Dra_000049,-1.75,-0.01
SAGA_Dra_000049,-1.87,
SAGA_Dra_000050,-2.1,
SAGA_Dra_000050,-1.8,0.21
SAGA_Dra_000053,-1.86,0.76
SAGA_Dra_000054,-2.33,
SAGA_Dra_000054,-2.2,
SAGA_Dra_000054,-2.01,0.12
SAGA_Dra_000054,-2.19,
SAGA_Dra_000057,-1.49,
SAGA_Dra_000057,-1.16,-0.36
SAGA_Dra_000059,-2.02,
SAGA_Dra_000059,-1.7,0.63
SAGA_Dra_000060,-2.04,
SAGA_Dra_000060,-1.69,0.11
SAGA_Dra_000060,-1.89,
SAGA_Dra_000062,-2.51,0.31
SAGA_Dra_000063,-1.98,
SAGA_Dra_000063,-1.65,-0.08
SAGA_Dra_000064,-1.79,
SAGA_Dra_000064,-1.47,-0.81
SAGA_Dra_000066,-1.49,
SAGA_Dra_000066,-1.23,1.02
SAGA_Dra_000067,-1.79,
SAGA_Dra_000067,-1.46,0.12
SAGA_Dra_000069,-1.78,
SAGA_Dra_000069,-1.53,-0.14
SAGA_Dra_000069,-1.72,
SAGA_Dra_000070,-1.49,
SAGA_Dra_000070,-1.2,-0.3
SAGA_Dra_000072,-2.27,-0.14
SAGA_Dra_000073,-1.97,
SAGA_Dra_000073,-1.92,
SAGA_Dra_000073,-1.71,-0.04
SAGA_Dra_000073,-1.89,
SAGA_Dra_000075,-1.76,-0.62
SAGA_Dra_000079,-1.85,
SAGA_Dra_000079,-1.56,0.07
SAGA_Dra_000081,-2.01,
SAGA_Dra_000081,-1.67,-0.45
SAGA_Dra_000082,-1.81,
SAGA_Dra_000082,-1.48,-0.37
SAGA_Dra_000083,-2.32,
SAGA_Dra_000083,-2.03,-0.25
SAGA_Dra_000085,-2.21,
SAGA_Dra_000085,-1.92,-0.23
SAGA_Dra_000085,-2.12,
SAGA_Dra_000086,-1.78,
SAGA_Dra_000086,-1.48,-0.65
SAGA_Dra_000089,-1.99,-0.09
SAGA_Dra_000089,-2.12,
SAGA_Dra_000091,-1.49,
SAGA_Dra_000091,-1.19,0
SAGA_Dra_000092,-1.99,
SAGA_Dra_000092,-1.69,-0.16
SAGA_Dra_000092,-1.89,
SAGA_Dra_000100,-0.66,0.15
SAGA_Dra_000101,-2.52,
SAGA_Dra_000101,-2.21,0.5
SAGA_Dra_000102,-1.54,-0.1
SAGA_Dra_000103,-2.07,
SAGA_Dra_000103,-1.76,-0.23
SAGA_Dra_000104,-2.19,
SAGA_Dra_000104,-1.85,0.34
SAGA_Dra_000105,-1.84,
SAGA_Dra_000105,-1.54,-0.13
SAGA_Dra_000108,-2.51,
SAGA_Dra_000108,-2.18,0.38
SAGA_Dra_000111,-1.99,
SAGA_Dra_000111,-1.67,-0.11
SAGA_Dra_000112,-2,
SAGA_Dra_000112,-1.68,0.35
SAGA_Dra_000112,-1.92,
SAGA_Dra_000115,-2.28,
SAGA_Dra_000115,-2.05,0.2
SAGA_Dra_000117,-2.39,
SAGA_Dra_000117,-2.11,-0.06
SAGA_Dra_000118,-1.99,
SAGA_Dra_000118,-1.69,-0.23
SAGA_Dra_000118,-1.88,
SAGA_Dra_000119,-1.38,
SAGA_Dra_000119,-1.14,0.01
SAGA_Dra_000122,-2.23,
SAGA_Dra_000122,-1.91,-0.22
SAGA_Dra_000126,-1.44,-0.03
SAGA_Dra_000129,-1.5,
SAGA_Dra_000129,-1.2,-0.28
SAGA_Dra_000129,-1.49,
SAGA_Dra_000131,-1.46,
SAGA_Dra_000131,-1.14,-0.31
SAGA_Dra_000131,-1.34,
SAGA_Dra_000132,-1.56,
SAGA_Dra_000132,-1.22,-0.44
SAGA_Dra_000132,-1.37,
SAGA_Dra_000142,-2.15,
SAGA_Dra_000142,-1.87,
SAGA_Dra_000142,-1.83,-0.07
SAGA_Dra_000143,-1.41,
SAGA_Dra_000143,-1.11,-0.34
SAGA_Dra_000146,-2.08,
SAGA_Dra_000146,-1.71,-0.48
SAGA_Dra_000146,-1.9,
SAGA_Dra_000147,-2.1,
SAGA_Dra_000147,-1.79,-0.38
SAGA_Dra_000147,-1.92,
SAGA_Dra_000150,-2.48,
SAGA_Dra_000150,-2.16,0.54
SAGA_Dra_000151,-2.12,0.19
SAGA_Dra_000152,-2.17,-0.3
SAGA_Dra_000158,-1.92,
SAGA_Dra_000158,-1.55,-0.33
SAGA_Dra_000158,-1.77,
SAGA_Dra_000160,-1.83,
SAGA_Dra_000160,-1.4,0.93
SAGA_Dra_000163,-1.79,
SAGA_Dra_000163,-1.49,-0.33
SAGA_Dra_000163,-1.7,
SAGA_Dra_000164,,
SAGA_Dra_000164,-2.27,
SAGA_Dra_000164,-2,0.05
SAGA_Dra_000164,-2.19,
SAGA_Dra_000165,-2.01,
SAGA_Dra_000165,-1.67,0.15
SAGA_Dra_000165,-1.86,
SAGA_Dra_000166,-2.06,
SAGA_Dra_000166,-1.75,-0.14
SAGA_Dra_000169,-2.03,
SAGA_Dra_000169,-1.9,
SAGA_Dra_000169,-1.72,-0.14
SAGA_Dra_000169,-1.87,
SAGA_Dra_000170,-2.32,
SAGA_Dra_000170,-2.03,0.84
SAGA_Dra_000174,-1.88,0.17
SAGA_Dra_000176,-1.65,-0.9
SAGA_Dra_000177,-2.25,
SAGA_Dra_000177,-2.34,
SAGA_Dra_000177,-1.94,-0.03
SAGA_Dra_000177,-2.14,
SAGA_Dra_000180,-2.92,0.76
SAGA_Dra_000182,-2.62,
SAGA_Dra_000182,-2.31,0.21
SAGA_Dra_000183,-2.01,
SAGA_Dra_000183,-1.68,-0.14
SAGA_Dra_000183,-1.87,
SAGA_Dra_000186,-2.29,
SAGA_Dra_000186,-1.98,0.11
SAGA_Dra_000188,-1.81,0.3
SAGA_Dra_000189,-2.62,
SAGA_Dra_000189,-2.32,0.69
SAGA_Dra_000193,-1.54,-0.28
SAGA_Dra_000195,-1.3,0.75
SAGA_Dra_000196,-1.62,-0.33
SAGA_Dra_000198,-2.73,
SAGA_Dra_000198,-2.45,-0.01
SAGA_Dra_000198,-2.68,
SAGA_Dra_000200,-2.23,
SAGA_Dra_000200,-1.89,0
SAGA_Dra_000201,-1.61,-0.27
SAGA_Dra_000203,-2.04,
SAGA_Dra_000203,-1.72,0.51
SAGA_Dra_000204,-2.12,
SAGA_Dra_000204,-1.79,-0.43
SAGA_Dra_000207,-2.2,
SAGA_Dra_000207,-1.92,-0.5
SAGA_Dra_000208,-1.6,-0.13
SAGA_Dra_000210,-2.06,
SAGA_Dra_000210,-1.74,-0.22
SAGA_Dra_000210,-1.97,
SAGA_Dra_000211,-2.39,
SAGA_Dra_000211,-2.08,-0.14
SAGA_Dra_000211,-2.28,
SAGA_Dra_000213,-2.01,0.24
SAGA_Dra_000215,-1.88,1.06
SAGA_Dra_000217,-2.6,
SAGA_Dra_000217,-2.3,0.15
SAGA_Dra_000218,-1.56,0.3
SAGA_Dra_000224,-2.08,
SAGA_Dra_000224,-1.84,0.09
SAGA_Dra_000225,-1.93,0.78
SAGA_Dra_000227,-1.84,
SAGA_Dra_000227,-1.47,-0.33
SAGA_Dra_000227,-1.6,
SAGA_Dra_000228,-1.66,
SAGA_Dra_000228,-1.45,-0.34
SAGA_Dra_000228,-1.64,
SAGA_Dra_000229,-1.47,-0.04
SAGA_Dra_000230,,
SAGA_Dra_000230,-2.48,
SAGA_Dra_000230,-2.2,-0.26
SAGA_Dra_000230,-2.46,
SAGA_Dra_000233,-2.09,
SAGA_Dra_000233,-1.77,-0.33
SAGA_Dra_000233,-1.96,
SAGA_Dra_000234,,
SAGA_Dra_000234,-2.01,
SAGA_Dra_000234,-1.76,-0.21
SAGA_Dra_000234,-1.94,
SAGA_Dra_000235,-2.39,
SAGA_Dra_000235,-2.08,-0.24
SAGA_Dra_000235,-2.18,
SAGA_Dra_000236,-1.97,
SAGA_Dra_000236,-1.66,-0.02
SAGA_Dra_000238,-1.7,
SAGA_Dra_000238,-1.4,-0.07
SAGA_Dra_000239,-2.82,
SAGA_Dra_000239,-2.56,1
SAGA_Dra_000241,-1.98,
SAGA_Dra_000241,-1.66,-0.16
SAGA_Dra_000248,-1.95,-0.13
SAGA_Dra_000248,-2.08,
SAGA_Dra_000251,-1.58,-0.13
SAGA_Dra_000254,-1.41,
SAGA_Dra_000254,-1.1,-0.4
SAGA_Dra_000255,-1.71,
SAGA_Dra_000255,-1.44,0.69
SAGA_Dra_000256,-2.07,
SAGA_Dra_000256,-1.78,-0.23
SAGA_Dra_000257,-2.03,
SAGA_Dra_000257,-1.72,0
SAGA_Dra_000261,-1.63,
SAGA_Dra_000261,-1.35,0.13
SAGA_Dra_000262,-2.45,
SAGA_Dra_000262,-2.14,0.27
SAGA_Dra_000262,-2.15,
SAGA_Dra_000263,-1.7,0.58
SAGA_Dra_000265,-2.17,
SAGA_Dra_000265,-1.89,0.19
SAGA_Dra_000269,-2.6,
SAGA_Dra_000269,-2.28,0.59
SAGA_Dra_000273,-1.85,-0.03
SAGA_Dra_000278,-1.84,
SAGA_Dra_000278,-1.6,0.01
SAGA_Dra_000279,-2.01,0.74
SAGA_Dra_000281,-1.76,
SAGA_Dra_000281,-1.45,0.14
SAGA_Dra_000281,-1.64,
SAGA_Dra_000284,-1.92,0.13
SAGA_Dra_000286,-1.76,0.04
SAGA_Dra_000286,-1.92,
SAGA_Dra_000287,-1.34,0.84
SAGA_Dra_000288,-2.07,0.34
SAGA_Dra_000290,-2.11,
SAGA_Dra_000290,-1.81,-0.07
SAGA_Dra_000291,-2.1,-0.14
SAGA_Dra_000293,-1.63,1.03
SAGA_Dra_000294,-1.87,-0.04
SAGA_Dra_000295,-1.89,-0.1
SAGA_Dra_000296,-2.05,0.37
SAGA_Dra_000298,-2.02,-0.05
SAGA_Dra_000299,-2.26,0.08
SAGA_Dra_000302,-0.72,0.39
SAGA_For_000001,-1.21,-0.07
SAGA_For_000001,-0.92,-0.22
SAGA_For_000001,-0.89,-0.54
SAGA_For_000002,-1.6,0.1
SAGA_For_000003,-0.67,0.45
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,0.23
SAGA_For_000003,-0.35,-0.37
SAGA_For_000003,-0.62,
SAGA_For_000011,-1.18,
SAGA_For_000011,-1.19,
SAGA_For_000011,-1.07,-0.53
SAGA_For_000015,-0.8,
SAGA_For_000015,-1.06,
SAGA_For_000015,-0.79,-0.53
SAGA_For_000015,-1.06,
SAGA_For_000017,-0.5,
SAGA_For_000017,-0.72,
SAGA_For_000017,-0.71,-0.17
SAGA_For_000021,-1.01,
SAGA_For_000021,-1,
SAGA_For_000021,-1.12,-0.12
SAGA_For_000021,-0.93,
SAGA_For_000021,-0.94,-0.34
SAGA_For_000023,-0.99,
SAGA_For_000023,-0.9,
SAGA_For_000023,-1.06,-0.19
SAGA_For_000023,-1.13,
SAGA_For_000024,-0.6,
SAGA_For_000024,-0.63,
SAGA_For_000024,-0.74,-0.08
SAGA_For_000024,-0.31,
SAGA_For_000025,-0.7,
SAGA_For_000025,-1.01,
SAGA_For_000025,-0.91,
SAGA_For_000025,-0.97,-0.15
SAGA_For_000025,-0.89,
SAGA_For_000025,-0.79,-0.53
SAGA_For_000025,-1.01,
SAGA_For_000026,-0.99,
SAGA_For_000026,-0.87,
SAGA_For_000026,-0.89,-0.53
SAGA_For_000030,-0.5,
SAGA_For_000030,-0.66,-0.06
SAGA_For_000030,-0.59,-0.31
SAGA_For_000032,-1.31,
SAGA_For_000032,-1.4,
SAGA_For_000032,-1.19,-0.43
SAGA_For_000032,-1.4,
SAGA_For_000034,-1,
SAGA_For_000034,-0.88,-0.28
SAGA_For_000049,-1,
SAGA_For_000049,-0.91,-0.25
SAGA_For_000049,-0.82,-0.61
SAGA_For_000051,-1.06,
SAGA_For_000051,-0.96,-0.66
SAGA_For_000057,-0.5,
SAGA_For_000057,-0.77,
SAGA_For_000057,-0.54,-0.38
SAGA_For_000059,-0.6,
SAGA_For_000059,-0.84,-0.43
SAGA_For_000071,-0.9,
SAGA_For_000071,-0.85,-0.47
SAGA_For_000077,-0.8,
SAGA_For_000077,-0.92,0.03
SAGA_For_000086,-0.6,
SAGA_For_000086,-0.67,-0.55
SAGA_For_000092,-1.07,
SAGA_For_000092,-1.02,-0.3
SAGA_For_000107,-0.6,
SAGA_For_000107,-0.62,-0.12
SAGA_For_000117,-0.8,
SAGA_For_000117,-0.85,
SAGA_For_000117,-0.86,-0.13
SAGA_For_000197,-1.38,0.1
SAGA_For_000197,-1.42,
SAGA_For_000241,-0.84,-0.12
SAGA_For_000241,-1.07,
SAGA_For_000243,-0.3,-0.25
SAGA_For_000243,-0.92,
SAGA_For_000247,-2.09,0.76
SAGA_For_000247,-1.91,
SAGA_For_000271,-0.67,-0.51
SAGA_For_000271,-0.91,
SAGA_For_000283,-2.31,0.18
SAGA_For_000283,,
SAGA_For_000295,-0.9,-0.2
SAGA_For_000295,-0.86,
SAGA_For_000301,-0.7,-0.28
SAGA_For_000301,-0.82,
SAGA_For_000305,-0.26,-0.93
SAGA_For_000305,-0.93,
SAGA_For_000306,-0.82,-0.41
SAGA_For_000306,-0.86,
SAGA_For_000317,-1.58,0.08
SAGA_For_000317,-1.41,
SAGA_For_000318,-0.44,-0.28
SAGA_For_000318,-0.64,
SAGA_For_000319,-1.68,-0.17
SAGA_For_000319,-1.62,
SAGA_For_000322,-0.62,-0.87
SAGA_For_000322,-0.97,
SAGA_For_000323,-0.74,-0.49
SAGA_For_000323,-0.85,
SAGA_For_000331,-0.88,-0.72
SAGA_For_000331,-1.04,
SAGA_For_000346,-0.88,-0.29
SAGA_For_000346,-0.95,
SAGA_For_000354,-0.73,0.01
SAGA_For_000354,-0.92,
SAGA_For_000362,-0.64,-0.38
SAGA_For_000362,-0.64,
SAGA_For_000378,-0.82,
SAGA_For_000378,-0.82,-0.16
SAGA_For_000378,-0.74,
SAGA_For_000381,-0.64,
SAGA_For_000381,-0.67,0.19
SAGA_For_000381,-0.82,
SAGA_For_000390,-0.88,-0.29
SAGA_For_000390,-0.61,
SAGA_For_000397,-0.7,-0.27
SAGA_For_000397,-0.76,
SAGA_For_000399,-0.63,0.3
SAGA_For_000399,-0.49,
SAGA_For_000407,-1.53,
SAGA_For_000407,-1.52,-0.15
SAGA_For_000407,-1.75,
SAGA_For_000415,-0.72,
SAGA_For_000415,-0.73,0.02
SAGA_For_000415,-0.62,
SAGA_For_000415,-0.77,-0.52
SAGA_For_000419,-0.54,
SAGA_For_000419,-0.61,-0.65
SAGA_For_000421,-0.71,
SAGA_For_000421,-0.69,-0.13
SAGA_For_000421,-0.65,
SAGA_For_000423,-0.62,
SAGA_For_000423,-1.46,-0.03
SAGA_For_000424,-0.59,
SAGA_For_000424,-0.75,-0.11
SAGA_For_000424,-0.77,
SAGA_For_000425,-0.85,
SAGA_For_000425,-0.95,0.05
SAGA_For_000425,-0.79,
SAGA_For_000429,-0.58,
SAGA_For_000429,-0.49,-0.59
