Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
BooI,1411.927152,-57573.81109
BooII,1228.20586,-44942.89106
CVenI,585.2126605,-32691.14732
CVenII,814.7393113,-37472.95191
CarI,986.4815128,-42618.07368
CarII,-6592.998812,-40126.63704
CarIII,-1589.655313,-41791.23901
CberI,-1271.762065,-64158.82871
DraI,4878.318252,-54870.89255
FnxI,-5004.261356,-44249.08408
GruII,4601.044317,-69034.3353
HerI,349.9001991,-35332.89126
HorI,-1460.646631,-30457.29395
LeoIV,-7000.767103,-34867.34814
RetII,-1599.555295,-76861.92135
SclI,581.0942767,-53153.90519
SegI,-3119.664243,-80983.75016
SegII,-1125.546452,-87342.31297
TucII,8243.145979,-34993.0944
TucIII,-669.89286,-97636.8327
UMiI,1932.418076,-60004.44269
UMaI,-7812.903936,-53757.15352