Name,ecc_mean,zmax_mean(kpc)
BooI,0.3313689258,95.27459808
BooII,0.6129942811,190.8219007
CVenI,0.5887464423,271.6250591
CVenII,0.6366067477,237.9972396
CarI,0.08088205755,127.1645462
CarII,0.7711473019,172.4514812
CarIII,0.7444935356,199.833166
CberI,0.2828735169,77.28108489
DraI,0.4079681174,101.1449643
FnxI,0.3804756469,144.3065255
GruII,0.4602729431,65.48752918
HerI,0.6403959702,244.5019256
HorI,0.5021783849,343.7985893
LeoIV,0.4424828026,356.2972349
RetII,0.3690768155,57.99735749
SclI,0.3286649583,108.2680643
SegI,0.4347074914,50.01500603
SegII,0.4323260165,46.88075014
TucII,0.718872215,230.7923511
TucIII,0.8602778068,40.41116199
UMiI,0.3773875529,90.8585238
UMaI,0.319748556,88.44524306